AssemblyAccession	Taxid	LastMajorReleaseAccession	AssemblyName	Organism	SpeciesTaxid	SpeciesName	Synonym	superkingdom	phylum	class	order	family	genus	species
GCF_900079125.1	83986	GCF_900079125.1	MBBA	Methanoculleus bourgensis (euryarchaeotes)	83986	Methanoculleus bourgensis	GCA_900079125.1GCF_900079125.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus bourgensis
GCF_900036045.1	86622	GCF_900036045.1	Methanoculleus sp MAB1	Methanoculleus sp. MAB1 (euryarchaeotes)	86622	Methanoculleus sp. MAB1	GCA_900036045.1GCF_900036045.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus sp. MAB1
GCF_000828575.1	866790	GCF_000828575.1	ASM82857v1	Methanothermobacter sp. CaT2 (euryarchaeotes)	866790	Methanothermobacter sp. CaT2	GCA_000828575.1GCF_000828575.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter sp. CaT2
GCF_000328665.1	867904	GCF_000328665.1	ASM32866v1	Methanomethylovorans hollandica DSM 15978 (euryarchaeotes)	101192	Methanomethylovorans hollandica	GCA_000328665.1GCF_000328665.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanomethylovorans	Methanomethylovorans hollandica
GCF_000214725.1	868131	GCF_000214725.1	ASM21472v1	Methanobacterium paludis (euryarchaeotes)	868131	Methanobacterium paludis	GCA_000214725.1GCF_000214725.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium paludis
GCF_000191585.1	877455	GCF_000191585.1	ASM19158v1	Methanobacterium lacus (euryarchaeotes)	877455	Methanobacterium lacus	GCA_000191585.1GCF_000191585.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium lacus
GCF_000214415.1	880724	GCF_000214415.1	ASM21441v1	Methanotorris igneus Kol 5 (euryarchaeotes)	2189	Methanotorris igneus	GCA_000214415.1GCF_000214415.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris	Methanotorris igneus
GCF_005576615.1	88724	GCF_005576615.1	ASM557661v1	Natrinema versiforme (euryarchaeotes)	88724	Natrinema versiforme	GCA_005576615.1GCF_005576615.1identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema versiforme
GCF_000698785.1	926571	GCF_000698785.1	ASM69878v1	Nitrososphaera viennensis EN76 (archaea)	1034015	Nitrososphaera viennensis	GCA_000698785.1GCF_000698785.1identical	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Nitrososphaera viennensis
GCF_000189555.1	930945	GCF_000189555.1	ASM18955v1	Sulfolobus islandicus REY15A (crenarchaeotes)	43080	Sulfolobus islandicus	GCA_000189555.1GCF_000189555.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
GCF_000213215.1	933801	GCF_000213215.1	ASM21321v1	Acidianus hospitalis W1 (crenarchaeotes)	563177	Acidianus hospitalis	GCA_000213215.1GCF_000213215.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus hospitalis
GCF_001481685.1	940295	GCF_001481685.1	ASM148168v1	Ignicoccus islandicus DSM 13165 (crenarchaeotes)	54259	Ignicoccus islandicus	GCA_001481685.1GCF_001481685.1identical	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus islandicus
GCF_000190315.1	985053	GCF_000190315.1	ASM19031v1	Vulcanisaeta moutnovskia 768-28 (crenarchaeotes)	985052	Vulcanisaeta moutnovskia	GCA_000190315.1GCF_000190315.1identical	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta moutnovskia
GCF_000204415.1	990316	GCF_000204415.1	ASM20441v1	Methanothrix soehngenii GP6 (euryarchaeotes)	2223	Methanothrix soehngenii	GCA_000204415.1GCF_000204415.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix	Methanothrix soehngenii
GCF_000193375.1	999630	GCF_000193375.1	ASM19337v1	Thermoproteus uzoniensis 768-20 (crenarchaeotes)	184117	Thermoproteus uzoniensis	GCA_000193375.1GCF_000193375.1identical	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus uzoniensis
